created_time,BI,BI_Simple,open,high,low,close,volume,BI_MA,BI_Simple_MA
2017-03-30,-0.8027669055771678,-0.3814919735599622,3235.137,3240.0170000000003,3195.8520000000003,3210.237,24713547900.0,,
2017-03-31,-0.5793335291910608,-0.2824427480916031,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0,,
2017-04-01,-0.37776250555882857,-0.1891891891891892,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0,,
2017-04-02,-0.058840500022933465,-0.029850746268656716,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0,,
2017-04-03,-0.045120435280469544,-0.022900763358778626,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0,,
2017-04-04,-0.3172408746933253,-0.1590909090909091,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0,,
2017-04-05,-0.21049243376065088,-0.10512820512820513,3235.66,3270.645,3233.237,3270.305,24832020200.0,,
2017-04-06,-0.21087345872239538,-0.10533515731874145,3272.1929999999998,3286.6740000000004,3265.765,3281.005,24528799900.0,,
2017-04-07,-0.2092544391535427,-0.10451612903225807,3280.6240000000003,3295.187,3275.051,3286.616,23610894200.0,,
2017-04-08,-0.2498117983963711,-0.12574850299401197,3280.6240000000003,3295.187,3275.051,3286.616,23610894200.0,-0.30614968803567455,-0.15056943240323156
2017-04-09,-0.07320340402329494,-0.037037037037037035,3280.6240000000003,3295.187,3275.051,3286.616,23610894200.0,-0.2331933378802872,-0.11612393875093904
2017-04-10,-0.595927822485819,-0.29000969932104753,3285.4590000000003,3285.4590000000003,3265.012,3269.393,23269461600.0,-0.23485276720976303,-0.11688063387388348
2017-04-11,-0.5172565140962812,-0.2535211267605634,3266.222,3290.389,3244.405,3288.966,28128124800.0,-0.24880216806350827,-0.1233138276310209
2017-04-12,-0.7374582268848563,-0.35362014690451204,3283.837,3284.934,3262.277,3273.83,26938179000.0,-0.3166639407497006,-0.15569076769460644
2017-04-13,-0.48310107575113576,-0.23766816143497757,3265.218,3281.137,3261.49,3275.96,20734687500.0,-0.36046200479676715,-0.17716750750222635
2017-04-14,-0.907401784456909,-0.42547770700636944,3276.138,3276.711,3238.8959999999997,3246.067,21450855800.0,-0.41947809577312556,-0.20380618729377237
2017-04-15,-0.3841423386393432,-0.19170984455958548,3276.138,3276.711,3238.8959999999997,3246.067,21450855800.0,-0.4368430862609948,-0.21246435123691038
2017-04-16,-0.4174412991548801,-0.20772946859903382,3276.138,3276.711,3238.8959999999997,3246.067,21450855800.0,-0.4574998703042432,-0.22270378236493965
2017-04-17,-0.8597710916107012,-0.4056110318592487,3229.949,3229.949,3199.9120000000003,3222.167,21273718900.0,-0.5225515355499591,-0.2528132726476387
2017-04-18,-0.8855439732957979,-0.41642399534071056,3215.3959999999997,3225.055,3196.488,3196.7129999999997,18866135300.0,-0.5861247530399017,-0.28188082188230856
2017-04-19,-0.9570664825506137,-0.44542536115569825,3184.6659999999997,3189.437,3147.066,3170.687,21323807500.0,-0.6745110608926337,-0.3227196542941747
2017-04-20,-0.7328124369523767,-0.3512836568566061,3165.665,3178.183,3148.184,3172.1,19087398500.0,-0.6881995223392894,-0.3288470500477305
2017-04-21,-0.6960555684559024,-0.3350582147477361,3170.29,3180.7940000000003,3158.6290000000004,3173.151,16476174000.0,-0.7060794277752516,-0.33700075884644776
2017-04-22,-0.3656436139214928,-0.1821561338289963,3170.29,3180.7940000000003,3158.6290000000004,3173.151,16476174000.0,-0.6688979664789152,-0.31985435753889624
