created_time,BI,open,high,low,close,volume
2017-03-30,-0.8093976488665506,3235.137,3240.0170000000003,3195.8520000000003,3210.237,24713547900.0
2017-03-31,-0.5698898509116079,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0
2017-04-01,-0.35020242943311486,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0
2017-04-02,-0.058840500022933465,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0
2017-04-03,-0.1961148789262905,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0
2017-04-04,-0.34032580593720285,3206.2529999999997,3226.248,3205.5370000000003,3222.514,19644292200.0
2017-04-05,-0.2363887780642304,3235.66,3270.645,3233.237,3270.305,24832020200.0
2017-04-06,-0.22744199207442428,3272.1929999999998,3286.6740000000004,3265.765,3281.005,24528799900.0
2017-04-07,-0.25098757748538303,3280.6240000000003,3295.187,3275.051,3286.616,23610894200.0
2017-04-08,-0.2498117983963711,3280.6240000000003,3295.187,3275.051,3286.616,23610894200.0
2017-04-09,-0.024391453124159124,3280.6240000000003,3295.187,3275.051,3286.616,23610894200.0
2017-04-10,-0.6427405420602444,3285.4590000000003,3285.4590000000003,3265.012,3269.393,23269461600.0
2017-04-11,-0.5215495871289664,3266.222,3290.389,3244.405,3288.966,28128124800.0
2017-04-12,-0.7711501119015615,3283.837,3284.934,3262.277,3273.83,26938179000.0
2017-04-13,-0.5275524175713041,3265.218,3281.137,3261.49,3275.96,20734687500.0
2017-04-14,-0.9136205033182762,3276.138,3276.711,3238.8959999999997,3246.067,21450855800.0
2017-04-15,-0.49172545239257137,3276.138,3276.711,3238.8959999999997,3246.067,21450855800.0
2017-04-16,-0.4575811092471784,3276.138,3276.711,3238.8959999999997,3246.067,21450855800.0
2017-04-17,-0.8620457170217593,3229.949,3229.949,3199.9120000000003,3222.167,21273718900.0
2017-04-18,-0.9081606057909049,3215.3959999999997,3225.055,3196.488,3196.7129999999997,18866135300.0
2017-04-19,-1.0035512058883636,3184.6659999999997,3189.437,3147.066,3170.687,21323807500.0
2017-04-20,-0.7614849586726666,3165.665,3178.183,3148.184,3172.1,19087398500.0
2017-04-21,-0.7489073447803224,3170.29,3180.7940000000003,3158.6290000000004,3173.151,16476174000.0
2017-04-22,-0.41161897368254274,3170.29,3180.7940000000003,3158.6290000000004,3173.151,16476174000.0
2017-04-23,-0.583584978048419,3170.29,3180.7940000000003,3158.6290000000004,3173.151,16476174000.0
2017-04-24,-0.9108390049758438,3164.248,3164.248,3111.215,3129.531,18627743400.0
2017-04-25,-0.72032550161389,3123.8940000000002,3145.2670000000003,3117.449,3134.567,15341830700.0
2017-04-26,-0.7000295201828871,3132.9179999999997,3152.953,3131.4179999999997,3140.847,16987810700.0
2017-04-27,-0.7998803800297437,3131.35,3155.0029999999997,3097.333,3152.187,21179307300.0
2017-04-28,-0.3474635949854954,3144.022,3154.7270000000003,3136.578,3154.658,16288989900.0
2017-04-29,-0.4877032063451364,3144.022,3154.7270000000003,3136.578,3154.658,16288989900.0
2017-04-30,0.10379679368164356,3144.022,3154.7270000000003,3136.578,3154.658,16288989900.0
2017-05-01,-0.3364722366212129,3144.022,3154.7270000000003,3136.578,3154.658,16288989900.0
2017-05-02,-0.48448709506431525,3147.228,3154.781,3136.539,3143.712,15422296200.0
2017-05-03,-0.7350443914488773,3138.3070000000002,3148.2859999999996,3123.7509999999997,3135.3459999999995,16376392400.0
2017-05-04,-0.7658134102322657,3127.1059999999998,3143.8179999999998,3111.3909999999996,3127.369,17796748500.0
2017-05-05,-0.7339329753299748,3114.7740000000003,3117.614,3092.092,3103.038,17621364100.0
2017-05-06,-0.5167957907524945,3114.7740000000003,3117.614,3092.092,3103.038,17621364100.0
2017-05-07,-0.7777045685880083,3114.7740000000003,3117.614,3092.092,3103.038,17621364100.0
2017-05-08,-0.9521522144908201,3090.065,3093.452,3067.6940000000004,3078.613,18052690400.0
2017-05-09,-0.8483681805150698,3064.848,3084.208,3056.558,3080.527,13506667400.0
2017-05-10,-0.9212782733851941,3078.173,3090.8190000000004,3051.59,3052.785,16079445200.0
2017-05-11,-0.839305594062162,3036.789,3063.5640000000003,3016.531,3061.5,19134190100.0
2017-05-12,-0.4838284058320246,3054.112,3090.491,3051.8709999999996,3083.513,15968409900.0
2017-05-13,-0.6983419974370493,3054.112,3090.491,3051.8709999999996,3083.513,15968409900.0
